sig_id,dz:552
LJP005_A375_24H:H13,-0.006901274
LJP005_A375_24H:H14,-0.00273923
LJP005_A375_24H:H15,-0.015416649
LJP005_A375_24H:H16,-0.009297875
LJP005_A375_24H:H17,0.013496927
LJP005_A375_24H:H18,-0.004761398
LJP005_A375_24H:H19,0.034591171
LJP005_A375_24H:H20,0.011638137
LJP005_A375_24H:H21,0.057266869
LJP005_A375_24H:H22,-0.049624143
LJP005_A375_24H:H23,0.053629408
LJP005_A375_24H:H24,-0.008662154
LJP005_A375_24H:I01,-0.030315605
LJP005_A375_24H:I02,0.081743303
LJP005_A375_24H:I03,-0.022361995
LJP005_A375_24H:I04,-0.037050972
LJP005_A375_24H:I05,0.077730683
LJP005_A375_24H:I06,0.050713399
LJP005_A375_24H:I07,0.006248808
LJP005_A375_24H:I08,-0.017240932
LJP005_A375_24H:I09,0.008653025
LJP005_A375_24H:I10,-0.021918781
LJP005_A375_24H:I11,0.100908144
LJP005_A375_24H:I12,0.102447591
LJP005_A375_24H:I13,-0.090002971
LJP005_A375_24H:I14,-0.036711511
LJP005_A375_24H:I15,-0.070661176
LJP005_A375_24H:I16,-0.014687712
LJP005_A375_24H:I17,-0.010658536
LJP005_A375_24H:I18,0.032653686
LJP005_A375_24H:I19,-0.122202367
LJP005_A375_24H:I20,-0.085975379
LJP005_A375_24H:I21,-0.032168377
LJP005_A375_24H:I22,-0.049009324
LJP005_A375_24H:I23,0.010341751
LJP005_A375_24H:I24,0.016617711
LJP005_A375_24H:J01,-0.056293141
LJP005_A375_24H:J02,0.012640107
LJP005_A375_24H:J03,0.057673105
LJP005_A375_24H:J04,0.014469027
LJP005_A375_24H:J05,0.040181001
LJP005_A375_24H:J06,0.040457319
LJP005_A375_24H:J07,-0.05107818
LJP005_A375_24H:J08,0.014862617
LJP005_A375_24H:J09,0.081842958
LJP005_A375_24H:J10,0.106260698
LJP005_A375_24H:J11,0.025170937
LJP005_A375_24H:J12,0.016865889
LJP005_A375_24H:J13,0.073962752
LJP005_A375_24H:J14,0.094305573
LJP005_A375_24H:J15,0.097107814
LJP005_A375_24H:J16,0.061451763
LJP005_A375_24H:J17,0.031680016
LJP005_A375_24H:J18,-0.020601581
LJP005_A375_24H:J19,-0.132098694
LJP005_A375_24H:J20,-0.087833007
LJP005_A375_24H:J21,-0.123911965
LJP005_A375_24H:J22,-0.061374144
LJP005_A375_24H:J23,-0.038353084
LJP005_A375_24H:J24,-0.001617095
LJP005_A375_24H:K01,-0.085902441
LJP005_A375_24H:K02,-0.004065544
LJP005_A375_24H:K03,-0.045618325
LJP005_A375_24H:K04,-0.015890359
LJP005_A375_24H:K05,-0.006862697
LJP005_A375_24H:K06,0.015390834
LJP005_A375_24H:K07,-0.164129683
LJP005_A375_24H:K08,-0.090807274
LJP005_A375_24H:K09,-0.040253097
LJP005_A375_24H:K10,0.024153457
LJP005_A375_24H:K11,0.050673281
LJP005_A375_24H:K12,0.13009862
LJP005_A375_24H:K13,-0.023458111
LJP005_A375_24H:K14,-0.039220151
LJP005_A375_24H:K15,-0.068620257
LJP005_A375_24H:K16,-0.001804747
LJP005_A375_24H:K17,0.013405557
LJP005_A375_24H:K18,0.081777665
LJP005_A375_24H:K19,-0.030595877
LJP005_A375_24H:K20,-0.038213079
LJP005_A375_24H:K21,0.051267983
LJP005_A375_24H:K22,0.045839903
LJP005_A375_24H:K23,0.000682293
LJP005_A375_24H:K24,-0.001007043
LJP005_A375_24H:L01,-0.123799694
LJP005_A375_24H:L02,-0.014364459
LJP005_A375_24H:L03,-0.083486973
LJP005_A375_24H:L04,-0.058574563
LJP005_A375_24H:L05,-0.023950164
LJP005_A375_24H:L06,0.057130818
LJP005_A375_24H:L07,-0.055370011
LJP005_A375_24H:L08,-0.035234741
LJP005_A375_24H:L09,-0.063206363
LJP005_A375_24H:L10,-0.042218344
LJP005_A375_24H:L11,-0.04114313
LJP005_A375_24H:L12,-0.02562511
LJP005_A375_24H:L13,-0.087297056
LJP005_A375_24H:L14,-0.039574699
LJP005_A375_24H:L15,-0.022023116
LJP005_A375_24H:L16,-0.026221528
LJP005_A375_24H:L17,-0.01904975
LJP005_A375_24H:L18,0.012378455
LJP005_A375_24H:L19,-0.03165016
LJP005_A375_24H:L20,-0.004887914
LJP005_A375_24H:L21,0.048316362
LJP005_A375_24H:L22,-0.035268289
LJP005_A375_24H:L23,0.060655338
LJP005_A375_24H:L24,-0.009655708
LJP005_A375_24H:M01,-0.024730339
LJP005_A375_24H:M02,-0.056138252
LJP005_A375_24H:M03,0.011486881
LJP005_A375_24H:M04,-0.01693377
LJP005_A375_24H:M05,0.043095557
LJP005_A375_24H:M06,0.013581625
LJP005_A375_24H:M07,-0.172519879
LJP005_A375_24H:M08,-0.109714024
LJP005_A375_24H:M09,-0.075724271
LJP005_A375_24H:M10,-0.098835247
LJP005_A375_24H:M11,-0.005655821
LJP005_A375_24H:M12,-0.029966522
LJP005_A375_24H:M13,-0.006341922
LJP005_A375_24H:M14,0.017017552
LJP005_A375_24H:M15,0.02310522
LJP005_A375_24H:M16,0.01831856
LJP005_A375_24H:M17,0.013001298
LJP005_A375_24H:M18,0.029597497
LJP005_A375_24H:M19,-0.013045776
LJP005_A375_24H:M20,0.027979936
LJP005_A375_24H:M21,0.069605264
LJP005_A375_24H:M22,0.032783095
LJP005_A375_24H:M23,0.006645218
LJP005_A375_24H:M24,-0.048649921
LJP005_A375_24H:N01,-0.033962543
LJP005_A375_24H:N02,-0.047979343
LJP005_A375_24H:N03,0.037104956
LJP005_A375_24H:N04,-0.031600565
LJP005_A375_24H:N05,0.057810276
LJP005_A375_24H:N06,0.063111883
LJP005_A375_24H:N07,-0.075974542
LJP005_A375_24H:N08,0.048335868
LJP005_A375_24H:N09,-0.024297154
LJP005_A375_24H:N10,-0.003234452
LJP005_A375_24H:N11,-0.032988727
LJP005_A375_24H:N12,0.089158666
LJP005_A375_24H:N13,-0.026334992
LJP005_A375_24H:N14,0.01739745
LJP005_A375_24H:N15,0.09348999
LJP005_A375_24H:N16,0.137702304
LJP005_A375_24H:N17,0.069933561
LJP005_A375_24H:N18,-0.003921018
LJP005_A375_24H:N19,0.070594109
LJP005_A375_24H:N20,0.074023336
LJP005_A375_24H:N21,0.063575098
LJP005_A375_24H:N22,0.034680535
LJP005_A375_24H:N23,0.073432006
LJP005_A375_24H:N24,0.034315434
LJP005_A375_24H:O01,-0.000218002
LJP005_A375_24H:O02,-0.007149394
LJP005_A375_24H:O04,0.016073505
LJP005_A375_24H:O05,0.013802912
LJP005_A375_24H:O06,0.108369963
LJP005_A375_24H:O07,-0.146163462
LJP005_A375_24H:O08,-0.059277031
LJP005_A375_24H:O09,-0.055856119
LJP005_A375_24H:O10,-0.055885219
LJP005_A375_24H:O11,0.07839315
LJP005_A375_24H:O12,-0.046698656
LJP005_A375_24H:O13,-0.043768111
LJP005_A375_24H:O14,-0.042982995
LJP005_A375_24H:O15,0.017574767
LJP005_A375_24H:O16,0.080847514
LJP005_A375_24H:O17,-0.013329333
LJP005_A375_24H:O18,0.063642543
LJP005_A375_24H:O19,-0.146585105
LJP005_A375_24H:O20,-0.03589715
LJP005_A375_24H:O21,-0.024933253
LJP005_A375_24H:O22,-0.045581027
LJP005_A375_24H:O23,0.040865038
LJP005_A375_24H:O24,-0.055444505
LJP005_A375_24H:P01,-0.047252267
LJP005_A375_24H:P02,-0.090564271
LJP005_A375_24H:P03,-0.079309521
LJP005_A375_24H:P04,0.020991711
LJP005_A375_24H:P05,-0.024327417
LJP005_A375_24H:P06,-0.004112595
LJP005_A375_24H:P07,-0.07473342
LJP005_A375_24H:P08,-0.048135105
LJP005_A375_24H:P09,-0.049378872
LJP005_A375_24H:P10,-0.030815652
LJP005_A375_24H:P11,-0.018880296
LJP005_A375_24H:P12,0.034684634
LJP005_A375_24H:P13,-0.097159749
LJP005_A375_24H:P14,0.037120538
LJP005_A375_24H:P15,-0.003240905
LJP005_A375_24H:P16,0.003735691
LJP005_A375_24H:P17,0.042513937
LJP005_A375_24H:P18,0.019024182
LJP005_A375_24H:P19,-0.067974768
LJP005_A375_24H:P20,-0.065406736
LJP005_A375_24H:P21,-0.067736881
LJP005_A375_24H:P22,-0.043908901
LJP005_A375_24H:P23,0.016136967
LJP005_A375_24H:P24,-0.028212314
LJP005_A549_24H:A03,0.014013312
LJP005_A549_24H:A04,0.0561336
LJP005_A549_24H:A05,-0.005941093
LJP005_A549_24H:A06,0.001771548
LJP005_A549_24H:A07,-0.019762974
LJP005_A549_24H:A08,0.05341033
LJP005_A549_24H:A09,-0.029266583
LJP005_A549_24H:A10,0.003391085
LJP005_A549_24H:A11,-0.018163699
LJP005_A549_24H:A12,-0.0007068
LJP005_A549_24H:A13,-0.024287328
LJP005_A549_24H:A14,-0.098534248
LJP005_A549_24H:A15,0.025910266
LJP005_A549_24H:A16,0.026533633
LJP005_A549_24H:A17,0.008523021
LJP005_A549_24H:A18,-0.006060167
LJP005_A549_24H:A19,-0.091499451
LJP005_A549_24H:A20,-0.054463422
LJP005_A549_24H:A21,-0.010240788
LJP005_A549_24H:A22,0.058298041
LJP005_A549_24H:A23,-0.02733138
LJP005_A549_24H:B03,0.038073481
LJP005_A549_24H:B04,0.0205811
LJP005_A549_24H:B05,0.030440668
LJP005_A549_24H:B06,0.053956397
LJP005_A549_24H:B07,0.049725193
LJP005_A549_24H:B08,-0.031331834
LJP005_A549_24H:B09,-0.074002419
LJP005_A549_24H:B10,0.053582401
LJP005_A549_24H:B11,-0.033554388
LJP005_A549_24H:B12,0.004384931
LJP005_A549_24H:B13,0.015152918
LJP005_A549_24H:B14,0.004644766
LJP005_A549_24H:B15,-0.03476673
LJP005_A549_24H:B16,-0.04825008
LJP005_A549_24H:B17,-0.075514031
LJP005_A549_24H:B18,-0.037468633
LJP005_A549_24H:B19,-0.043322164
LJP005_A549_24H:B20,0.017575073
LJP005_A549_24H:B21,0.005753063
LJP005_A549_24H:B22,0.014189888
LJP005_A549_24H:B23,0.072284725
LJP005_A549_24H:B24,-0.060227445
LJP005_A549_24H:C01,0.022348855
LJP005_A549_24H:C02,-0.005183827
LJP005_A549_24H:C03,-0.049370761
LJP005_A549_24H:C04,-0.011420745
LJP005_A549_24H:C05,0.025344577
LJP005_A549_24H:C06,0.036958294
LJP005_A549_24H:C07,-0.033946089
LJP005_A549_24H:C08,0.041117489
LJP005_A549_24H:C09,0.002975111
LJP005_A549_24H:C10,0.051263739
LJP005_A549_24H:C11,0.000773895
LJP005_A549_24H:C12,0.019561455
LJP005_A549_24H:C13,0.034351772
LJP005_A549_24H:C14,0.012971994
LJP005_A549_24H:C15,0.12274823
LJP005_A549_24H:C16,-0.013411168
LJP005_A549_24H:C17,0.032228321
LJP005_A549_24H:C18,0.014489027
LJP005_A549_24H:C19,-0.069379471
LJP005_A549_24H:C20,-0.05357115
LJP005_A549_24H:C21,-0.027595504
LJP005_A549_24H:C22,-0.05749086
LJP005_A549_24H:C23,-0.026331852
LJP005_A549_24H:C24,-0.028324659
LJP005_A549_24H:D01,-0.034218366
LJP005_A549_24H:D02,-0.102878886
LJP005_A549_24H:D03,-0.078254511
LJP005_A549_24H:D04,-0.065507176
LJP005_A549_24H:D05,-0.059393809
LJP005_A549_24H:D06,-0.078042293
LJP005_A549_24H:D07,-0.015482495
LJP005_A549_24H:D08,-0.071905059
LJP005_A549_24H:D09,-0.060246253
LJP005_A549_24H:D10,-0.027306481
LJP005_A549_24H:D11,-0.075450932
LJP005_A549_24H:D12,-0.039734153
LJP005_A549_24H:D13,0.095557451
LJP005_A549_24H:D14,0.121661387
LJP005_A549_24H:D15,0.078229277
LJP005_A549_24H:D16,-0.024002056
LJP005_A549_24H:D17,0.079230216
LJP005_A549_24H:D18,0.065746807
LJP005_A549_24H:D19,0.0028797
LJP005_A549_24H:D20,0.00916569
LJP005_A549_24H:D21,-0.012935452
LJP005_A549_24H:D22,-0.002367094
LJP005_A549_24H:D23,-0.032422311
LJP005_A549_24H:D24,-0.034229588
LJP005_A549_24H:E01,-0.036213063
LJP005_A549_24H:E02,-0.023022892
LJP005_A549_24H:E03,0.005045856
LJP005_A549_24H:E04,0.013872842
LJP005_A549_24H:E05,-0.035362493
LJP005_A549_24H:E06,-0.061994065
LJP005_A549_24H:E07,0.022383682
LJP005_A549_24H:E08,0.029684651
LJP005_A549_24H:E09,-0.052401049
LJP005_A549_24H:E10,-0.025443418
LJP005_A549_24H:E11,-0.017043163
LJP005_A549_24H:E12,0.010992386
LJP005_A549_24H:E13,-0.047413596
LJP005_A549_24H:E14,0.010325181
LJP005_A549_24H:E15,-0.0124127
LJP005_A549_24H:E16,-0.045917581
LJP005_A549_24H:E17,-0.08239981
LJP005_A549_24H:E18,-0.016189062
LJP005_A549_24H:E19,-0.056878134
LJP005_A549_24H:E20,-0.013748041
LJP005_A549_24H:E21,-0.007439376
LJP005_A549_24H:E22,-0.037177372
LJP005_A549_24H:E23,-0.059223119
LJP005_A549_24H:E24,-0.070136854
LJP005_A549_24H:F01,-0.036673487
LJP005_A549_24H:F02,0.049253025
LJP005_A549_24H:F03,0.036043521
LJP005_A549_24H:F04,0.042121335
LJP005_A549_24H:F05,0.012628406
LJP005_A549_24H:F06,0.01742466
LJP005_A549_24H:F07,-0.007978698
LJP005_A549_24H:F08,0.037864781
LJP005_A549_24H:F09,0.049381227
LJP005_A549_24H:F10,0.008077408
LJP005_A549_24H:F11,0.016488622
LJP005_A549_24H:F12,0.01353091
LJP005_A549_24H:F13,0.029528279
LJP005_A549_24H:F14,-0.083568778
LJP005_A549_24H:F15,-0.064058445
LJP005_A549_24H:F16,0.030936994
LJP005_A549_24H:F17,-0.047400107
LJP005_A549_24H:F18,0.028918256
LJP005_A549_24H:F19,-0.048198479
LJP005_A549_24H:F20,0.029746223
LJP005_A549_24H:F21,0.007489872
LJP005_A549_24H:F22,-0.032666797
LJP005_A549_24H:F23,-0.069748584
LJP005_A549_24H:F24,-0.085293464
LJP005_A549_24H:G01,-0.134850163
LJP005_A549_24H:G02,-0.00887408
LJP005_A549_24H:G03,-0.015884515
LJP005_A549_24H:G04,-0.045964806
LJP005_A549_24H:G05,-0.043025089
LJP005_A549_24H:G06,-0.067817814
LJP005_A549_24H:G07,-0.078777641
LJP005_A549_24H:G08,0.013265377
LJP005_A549_24H:G09,0.053688044
LJP005_A549_24H:G10,0.065750877
LJP005_A549_24H:G11,0.065711021
LJP005_A549_24H:G12,0.059189586
LJP005_A549_24H:G13,-0.095443813
LJP005_A549_24H:G14,-0.124387652
LJP005_A549_24H:G15,-0.070478698
LJP005_A549_24H:G16,0.000528363
LJP005_A549_24H:G17,0.011690697
LJP005_A549_24H:G18,-0.007576779
LJP005_A549_24H:G19,0.009512389
LJP005_A549_24H:G20,-0.017666413
LJP005_A549_24H:G21,0.003779269
LJP005_A549_24H:G22,-0.058725993
LJP005_A549_24H:G23,-0.050192478
LJP005_A549_24H:G24,-0.033789455
LJP005_A549_24H:H01,-0.018570749
LJP005_A549_24H:H02,-0.045533235
LJP005_A549_24H:H03,-0.096413849
LJP005_A549_24H:H04,0.001211426
LJP005_A549_24H:H05,-0.037263247
LJP005_A549_24H:H06,0.044675441
LJP005_A549_24H:H07,-0.031418843
LJP005_A549_24H:H08,-0.021193754
LJP005_A549_24H:H09,-0.02946191
LJP005_A549_24H:H10,-0.041911807
LJP005_A549_24H:H11,-0.035361374
LJP005_A549_24H:H12,0.112579654
LJP005_A549_24H:H13,0.037120596
LJP005_A549_24H:H14,0.02704964
LJP005_A549_24H:H15,0.053699527
LJP005_A549_24H:H16,0.071597286
LJP005_A549_24H:H17,0.051217167
LJP005_A549_24H:H18,0.072480284
LJP005_A549_24H:H19,0.053496002
LJP005_A549_24H:H20,-0.070569777
LJP005_A549_24H:H21,0.013282704
LJP005_A549_24H:H22,0.002824059
LJP005_A549_24H:H23,-0.046521528
LJP005_A549_24H:H24,-0.022247601
LJP005_A549_24H:I01,0.03398141
LJP005_A549_24H:I02,0.044676139
LJP005_A549_24H:I03,0.046732015
LJP005_A549_24H:I04,-0.033529605
LJP005_A549_24H:I05,0.033090606
LJP005_A549_24H:I06,-0.027126242
LJP005_A549_24H:I07,-0.011392604
LJP005_A549_24H:I08,-0.031117539
LJP005_A549_24H:I09,0.00193497
LJP005_A549_24H:I10,0.030866933
LJP005_A549_24H:I11,0.017283463
LJP005_A549_24H:I12,0.03439564
LJP005_A549_24H:I13,-0.059595909
LJP005_A549_24H:I14,0.057596242
LJP005_A549_24H:I15,0.05004631
LJP005_A549_24H:I16,0.029690233
LJP005_A549_24H:I17,0.015730934
LJP005_A549_24H:I18,0.01448112
LJP005_A549_24H:I19,-0.077422299
LJP005_A549_24H:I20,-0.04943306
LJP005_A549_24H:I21,-0.033935681
LJP005_A549_24H:I22,-0.055370403
LJP005_A549_24H:I23,-0.0326811
LJP005_A549_24H:I24,-0.056043975
LJP005_A549_24H:J01,0.022183907
LJP005_A549_24H:J02,-0.019501888
LJP005_A549_24H:J03,0.094466393
LJP005_A549_24H:J04,-0.05912297
LJP005_A549_24H:J05,-0.027764928
LJP005_A549_24H:J06,0.015445836
LJP005_A549_24H:J07,-0.03498979
LJP005_A549_24H:J08,0.083839631
LJP005_A549_24H:J09,-0.032965209
LJP005_A549_24H:J10,0.087039721
LJP005_A549_24H:J11,0.025558538
LJP005_A549_24H:J12,-0.044732944
LJP005_A549_24H:J13,0.05803184
LJP005_A549_24H:J14,0.00368819
LJP005_A549_24H:J15,0.114990703
LJP005_A549_24H:J16,-0.08709609
LJP005_A549_24H:J17,0.014978406
LJP005_A549_24H:J18,-0.036149368
LJP005_A549_24H:J19,-0.099598125
LJP005_A549_24H:J20,-0.037953549
LJP005_A549_24H:J21,0.002711554
LJP005_A549_24H:J22,-0.072133265
LJP005_A549_24H:J23,-0.004530285
LJP005_A549_24H:J24,0.024566089
LJP005_A549_24H:K01,-0.072846868
LJP005_A549_24H:K02,-0.023110511
LJP005_A549_24H:K03,0.014582548
LJP005_A549_24H:K04,0.04379974
LJP005_A549_24H:K05,-0.009420961
LJP005_A549_24H:K06,0.031428059
LJP005_A549_24H:K07,0.006555971
LJP005_A549_24H:K08,0.066498259
LJP005_A549_24H:K09,0.118311219
LJP005_A549_24H:K10,0.095963135
LJP005_A549_24H:K11,0.032835001
LJP005_A549_24H:K12,0.092575509
LJP005_A549_24H:K13,0.000620081
LJP005_A549_24H:K14,-0.045705596
LJP005_A549_24H:K15,-0.043574892
LJP005_A549_24H:K16,-0.072204838
LJP005_A549_24H:K17,0.053159972
LJP005_A549_24H:K18,-0.010029588
LJP005_A549_24H:K19,0.004770032
LJP005_A549_24H:K20,-0.028467455
LJP005_A549_24H:K21,-0.031942875
LJP005_A549_24H:K22,0.005943942
LJP005_A549_24H:K23,-0.02236262
LJP005_A549_24H:K24,-0.070036123
LJP005_A549_24H:L01,-0.013756704
LJP005_A549_24H:L02,0.011412212
LJP005_A549_24H:L03,0.032347832
LJP005_A549_24H:L04,0.082008488
LJP005_A549_24H:L05,0.035517019
LJP005_A549_24H:L06,0.013927495
LJP005_A549_24H:L07,0.001360312
LJP005_A549_24H:L08,-0.042896625
LJP005_A549_24H:L09,-0.016536894
LJP005_A549_24H:L10,-0.045098858
LJP005_A549_24H:L11,0.06751946
LJP005_A549_24H:L12,0.08359625
LJP005_A549_24H:L13,-0.017937353
LJP005_A549_24H:L14,-0.006594926
LJP005_A549_24H:L15,0.024408699
LJP005_A549_24H:L16,-0.019919695
LJP005_A549_24H:L17,-0.003231835
LJP005_A549_24H:L18,0.026498079
LJP005_A549_24H:L19,0.045854962
LJP005_A549_24H:L20,0.023522518
LJP005_A549_24H:L21,-0.001627386
LJP005_A549_24H:L22,0.050893405
LJP005_A549_24H:L23,-0.000431673
LJP005_A549_24H:L24,-0.02833681
LJP005_A549_24H:M01,0.062271939
LJP005_A549_24H:M02,0.045991595
LJP005_A549_24H:M03,0.014534291
LJP005_A549_24H:M04,0.033598518
LJP005_A549_24H:M05,-0.008210771
LJP005_A549_24H:M06,-0.025130819
LJP005_A549_24H:M07,-0.013638356
LJP005_A549_24H:M08,0.027333314
LJP005_A549_24H:M09,0.044629655
LJP005_A549_24H:M10,0.005513708
LJP005_A549_24H:M11,-0.02625493
LJP005_A549_24H:M12,-0.011102332
LJP005_A549_24H:M13,-0.010776041
LJP005_A549_24H:M14,-0.010523909
LJP005_A549_24H:M15,-0.00480044
LJP005_A549_24H:M16,-0.010885928
LJP005_A549_24H:M17,-0.008356503
